國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",92,"76,248",6.43%,"17,507,644","147,891","33,838,554",20200127,1
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,"29,447",33.76%,"7,039,958","51,461","12,251,761",20200127,1
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"19,659",-74.75%,"4,453,321","167,411","38,275,464",20200203,2
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",93,"19,140",-74.90%,"4,338,303","167,027","38,176,037",20200203,2
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,"15,665",-46.80%,"3,712,979","67,126","15,964,740",20200203,2
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,44,945,10.53%,"224,885","81,409","19,363,906",20200210,2
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",68,524,-16.16%,"117,626","178,673","40,825,104",20200210,2
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",67,389,-22.36%,"85,630","175,800","40,138,203",20200210,2
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,44,"6,303",-49.51%,"1,514,023","85,912","20,451,626",20200217,2
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",72,"3,090",-69.45%,"706,354","180,614","41,271,537",20200217,2
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",69,"1,982",-74.86%,"430,232","176,892","40,371,785",20200217,2
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,36,"3,201",-49.21%,"760,305","89,113","21,211,931",20200224,2
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",30,301,-90.26%,"69,375","180,915","41,340,912",20200224,2
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",18,171,-91.37%,"38,420","177,063","40,410,205",20200224,2
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,22,"1,291",-59.67%,"311,187","90,404","21,523,118",20200302,3
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,17,628,-51.36%,"153,347","91,032","21,676,465",20200309,3
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,7,215,-65.76%,"52,013","91,247","21,728,478",20200316,3
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,58,-73.02%,"13,725","91,305","21,742,203",20200323,3
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,361,0.00%,"27,975","177,424","40,438,180",20200330,3
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,92,0.00%,"10,240","181,007","41,351,152",20200330,3
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,441,22.16%,"32,550","177,865","40,470,730",20200406,4
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,209,127.17%,"15,450","181,216","41,366,602",20200406,4
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",6,413,-6.35%,"30,570","178,278","40,501,300",20200413,4
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,294,40.67%,"18,680","181,510","41,385,282",20200413,4
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,106,0.00%,"9,240","91,411","21,751,443",20200413,4
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",6,358,-13.32%,"26,430","178,636","40,527,730",20200420,4
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,295,178.30%,"21,610","91,706","21,773,053",20200420,4
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,87,-70.41%,"5,015","181,597","41,390,297",20200420,4
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,422,43.05%,"31,815","92,128","21,804,868",20200427,4
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,238,-33.52%,"16,745","178,874","40,544,475",20200427,4
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,14,-83.91%,700,"181,611","41,390,997",20200427,4
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,261,-38.15%,"20,450","92,389","21,825,318",20200504,5
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,114,-52.10%,"8,225","178,988","40,552,700",20200504,5
日本,巧虎電影 英雄遊樂園,2020/01/22,全民大劇團股份有限公司,法人倍樂生株式會社,17,110,111.54%,"27,301","18,189","4,296,867",20200511,5
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,5,-96.21%,700,"92,526","21,835,803",20200518,5
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,82,0.00%,"16,400","181,693","41,407,397",20200601,6
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,29,0.00%,"3,490","92,555","21,839,293",20200601,6
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,53,82.76%,"5,880","92,608","21,845,173",20200608,6
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,20,-75.61%,"3,200","181,713","41,410,597",20200608,6
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,50,150.00%,"8,080","181,763","41,418,677",20200615,6
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,57,7.55%,"6,070","92,665","21,851,243",20200615,6
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,73,0.00%,"8,300","179,061","40,561,000",20200622,6
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,22,-56.00%,"3,360","181,785","41,422,037",20200622,6
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,12,-78.95%,"1,280","92,677","21,852,523",20200622,6
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,80,9.59%,"8,830","179,141","40,569,830",20200629,6
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,14,-36.36%,"2,040","181,799","41,424,077",20200629,6
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,51,-36.25%,"5,810","179,192","40,575,640",20200706,7
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,9,-35.71%,"1,260","181,808","41,425,337",20200706,7
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,29,-43.14%,"3,160","179,221","40,578,800",20200713,7
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,37,0.00%,"3,880","181,845","41,429,217",20200720,7
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,72,94.59%,"8,000","181,917","41,437,217",20200727,7
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,22,-69.44%,"2,500","181,939","41,439,717",20200803,8
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,8,0.00%,880,"181,947","41,440,597",20200817,8
中華民國,殺手撿到槍,2020/01/23,星泰國際娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團,31,"3,981",-5.73%,"894,316","8,990","2,012,055",20200127,1
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,35,"6,512",-26.43%,"1,460,012","15,549","3,522,839",20200127,1
日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,26,"2,061",29.14%,"489,521","3,657","868,733",20200127,1
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,11,151,15.27%,"35,286",282,"64,884",20200127,1
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"141,378",27.42%,"33,995,357","252,329","60,935,325",20200127,1
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",65,"43,623",51.78%,"10,498,251","72,364","17,380,401",20200127,1
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,94,"28,320",0.02%,"6,263,943","56,635","12,560,304",20200127,1
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"37,776",-73.28%,"8,867,550","290,095","69,800,705",20200203,2
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",63,"12,195",-72.04%,"2,921,382","84,559","20,301,783",20200203,2
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,93,"3,708",-86.91%,"813,588","60,341","13,373,472",20200203,2
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,34,421,-93.54%,"94,080","15,970","3,616,919",20200203,2
日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,15,393,-80.93%,"91,735","4,047","959,918",20200203,2
中華民國,殺手撿到槍,2020/01/23,星泰國際娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團,25,369,-90.73%,"82,605","9,359","2,094,660",20200203,2
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,3,9,-94.04%,"1,925",291,"66,809",20200203,2
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"1,060",-1.03%,"246,900","310,855","74,625,288",20200210,2
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",28,319,8.87%,"75,565","90,971","21,854,148",20200210,2
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,7,17,240.00%,"3,670","61,038","13,527,052",20200210,2
日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,1,5,0.00%,"1,220","4,197","996,768",20200210,2
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"5,885",-68.41%,"1,379,299","314,609","75,503,732",20200217,2
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",28,"1,975",-65.95%,"492,689","92,334","22,200,527",20200217,2
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,7,40,-94.07%,"9,220","61,056","13,531,132",20200217,2
日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,1,12,-91.72%,"2,970","4,204","998,518",20200217,2
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,40,"1,951",-66.64%,"458,660","81,992","19,231,228",20200224,2
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,55,"1,036",-82.40%,"242,087","315,645","75,745,819",20200224,2
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",12,480,-75.70%,"127,843","92,814","22,328,370",20200224,2
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,1,2,-95.00%,600,"61,058","13,531,732",20200224,2
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,15,472,-75.81%,"110,985","82,464","19,342,213",20200302,3
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",4,128,-73.33%,"36,330","92,942","22,364,700",20200302,3
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,83,-91.99%,"20,153","315,728","75,765,972",20200302,3
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,11,109,-76.91%,"25,075","82,573","19,367,288",20200309,3
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",2,61,-52.34%,"18,252","93,003","22,382,952",20200309,3
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,22,-73.49%,"4,950","315,750","75,770,922",20200309,3
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",1,9,-85.25%,"2,790","93,012","22,385,742",20200316,3
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,1,3,-97.25%,580,"82,576","19,367,868",20200316,3
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,3,291,0.00%,"18,570","61,349","13,550,302",20200323,3
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,3,307,5.50%,"19,860","61,656","13,570,162",20200330,3
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,1,24,0.00%,"3,840","16,039","3,631,999",20200330,3
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,216,0.00%,"20,560","315,966","75,791,482",20200406,4
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,4,165,-46.25%,"12,720","61,821","13,582,882",20200406,4
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,1,44,0.00%,"3,400","82,620","19,371,268",20200406,4
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,1,20,-16.67%,"2,920","16,059","3,634,919",20200406,4
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,2,9,0.00%,"1,855",305,"69,719",20200406,4
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,709,228.24%,"56,575","316,675","75,848,057",20200413,4
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,145,229.55%,"13,080","82,765","19,384,348",20200413,4
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,5,114,-30.91%,"11,865","61,935","13,594,747",20200413,4
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,2,12,33.33%,"2,590",317,"72,309",20200413,4
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,1,12,-40.00%,"1,760","16,071","3,636,679",20200413,4
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,622,-12.27%,"48,695","317,297","75,896,752",20200420,4
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,3,161,11.03%,"17,140","82,926","19,401,488",20200420,4
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,2,50,-56.14%,"7,440","61,985","13,602,187",20200420,4
中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,1,5,-58.33%,700,"16,076","3,637,379",20200420,4
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,2,3,-75.00%,630,320,"72,939",20200420,4
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,417,-32.96%,"34,180","317,714","75,930,932",20200427,4
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,4,189,17.39%,"21,490","83,115","19,422,978",20200427,4
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,2,28,-44.00%,"4,110","62,013","13,606,297",20200427,4
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,2,0,-100.00%,0,320,"72,939",20200427,4
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,4,191,-54.20%,"11,845","317,905","75,942,777",20200504,5
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,3,83,-56.08%,"10,560","83,198","19,433,538",20200504,5
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,1,6,-78.57%,840,"62,019","13,607,137",20200504,5
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,16,-80.72%,"2,320","83,214","19,435,858",20200511,5
美國,她們,2020/01/23,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,132,-49.43%,"9,785","92,521","21,835,103",20200511,5
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,205,"1,181.25%","10,825","83,419","19,446,683",20200518,5
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,272,32.68%,"14,385","83,691","19,461,068",20200525,5
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,204,-25.00%,"10,685","83,895","19,471,753",20200601,6
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,41,-79.90%,"2,185","83,936","19,473,938",20200608,6
中華民國,你的情歌,2020/01/23,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,1,19,0.00%,"4,180","83,955","19,478,118",20200622,6
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,1,33,0.00%,"3,680","62,052","13,610,817",20200720,7
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,1,48,45.45%,"5,420","62,100","13,616,237",20200727,7
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,40,0.00%,"4,530","318,001","75,950,267",20200803,8
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,1,16,-66.67%,"1,920","62,116","13,618,157",20200803,8
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,85,112.50%,"9,170","318,086","75,959,437",20200810,8
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,36,-57.65%,"3,980","318,122","75,963,417",20200817,8
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,99,"87,858",11.05%,"21,348,303","166,977","40,909,261",20200203,2
南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",44,"7,314",-13.52%,"1,690,822","15,883","3,674,938",20200203,2
美國,黑水風暴,2020/01/30,車庫娛樂股份有限公司,"STORYTELLER DISTRIBUTION CO., LLC",49,"4,145",-27.99%,"950,549","9,901","2,290,359",20200203,2
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"4,395",-10.58%,"1,070,627","245,985","60,128,123",20200210,2
南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",40,288,-4.00%,"63,800","20,763","4,793,338",20200210,2
美國,黑水風暴,2020/01/30,車庫娛樂股份有限公司,"STORYTELLER DISTRIBUTION CO., LLC",8,28,-9.68%,"5,885","11,216","2,589,616",20200210,2
